"dec" "attr" "sinc" "intel" "fun" "amb" "shar"
"911" 1 8 8 7 7 7 5
"912" 0 5 10 7 5 4 1
"915" 0 6 6 5 10 7 6
"916" 0 0 6 5 4 3 2
"917" 1 10 10 10 10 10 10
"918" 1 5 5 5 5 5 5
"919" 0 6 6 8 6 7 6
"920" 1 7 6 7 8 7 7
"921" 0 6 4 5 6 4 3
"922" 0 5 6 6 5 5 4
"923" 0 6 7 5 6 5 6
"924" 0 5 7 6 4 4 6
"925" 0 3 6 5 4 6 4
"926" 0 4 6 6 5 5 2
"927" 1 8 7 6 5 5 4
"928" 0 4 7 7 6 5 3
"929" 0 3 4 6 3 7 2
"930" 0 6 7 6 7 5 3
"933" 0 4 7 4 2 3 1
"936" 0 2 8 8 4 6 3
"939" 0 4 6 8 4 9 1
"940" 0 5 6 5 8 6 2
"941" 1 8 6 7 7 7 5
"942" 0 5 8 7 5 5 4
"943" 0 6 6 7 8 6 7
"945" 0 6 6 6 8 6 5
"946" 0 5 8 9 7 5 5
"947" 0 8 6 7 5 6 7
"948" 0 5 7 9 7 5 4
"949" 0 6 6 9 6 6 5
"950" 0 7 7 7 7 7 8
"951" 1 9 8 8 10 9 6
"952" 1 6 9 8 6 8 6
"953" 1 6 7 6 8 9 6
"955" 0 4 8 6 6 5 1
"956" 1 6 6 8 7 7 2
"959" 0 7 7 9 8 8 5
"960" 1 8 8 9 9 8 6
"961" 1 7 8 7 5 7 5
"962" 0 5 8 8 7 7 7
"963" 1 6 7 7 7 6 6
"964" 0 6 7 7 3 5 3
"965" 0 5 8 7 6 5 5
"966" 0 5 8 7 5 6 5
"967" 1 7 7 7 7 7 7
"968" 0 5 8 8 5 7 6
"969" 0 6 7 8 4 7 6
"970" 0 5 7 7 7 6 7
"971" 0 7 7 6 5 4 5
"972" 0 6 8 6 6 6 5
"973" 0 5 7 7 6 6 5
"975" 0 4 7 6 6 7 5
"976" 0 3 7 7 3 6 5
"977" 1 7 7 7 6 5 5
"978" 0 4 8 7 6 7 5
"979" 0 3 7 6 6 5 5
"980" 0 6 8 7 7 6 5
"981" 0 8 10 8 8 10 5
"982" 0 7 6 6 8 6 5
"983" 1 8 8 7 8 5 9
"984" 0 7 7 7 2 3 2
"985" 0 6 8 8 7 7 5
"986" 0 5 9 10 7 8 7
"987" 1 10 9 9 9 7 8
"988" 0 7 8 7 7 3 5
"989" 1 8 7 7 9 6 8
"990" 0 7 9 8 9 5 6
"991" 1 8 6 6 7 7 5
"992" 1 6 8 7 6 5 5
"993" 1 7 6 6 6 8 5
"995" 1 5 6 7 6 5 5
"996" 1 6 7 8 6 5 7
"997" 1 6 5 6 4 5 5
"998" 0 5 6 6 7 6 5
"999" 1 6 6 7 5 6 5
"1000" 1 6 7 6 8 6 5
"1015" 1 5 5 5 5 8 8
"1019" 1 4 7 8 10 7 7
"1020" 0 4 6 6 6 5 7
"1021" 0 4 6 7 4 6 2
"1022" 1 6 5 6 7 6 7
"1023" 1 8 9 9 6 7 5
"1024" 1 10 7 8 7 9 9
"1027" 1 6 7 6 7 4 6
"1028" 1 9 7 7 10 8 7
"1029" 0 6 6 5 5 5 6
"1030" 1 7 7 8 10 9 8
"1031" 0 5 6 7 5 6 4
"1032" 1 9 9 9 10 9 10
"1033" 1 9 7 7 9 6 5
"1034" 0 6 7 7 6 7 7
"1035" 1 8 9 8 9 9 8
"1036" 0 4 6 7 4 5 2
"1037" 0 4 2 9 2 10 2
"1038" 0 2 4 9 4 9 6
"1039" 0 2 5 9 2 9 2
"1041" 0 7 9 9 2 9 2
"1044" 0 2 9 9 2 9 2
"1047" 0 9 5 9 9 9 5
"1048" 1 7 9 9 7 9 7
"1050" 1 9 9 9 9 9 9
"1051" 0 7 4 7 2 2 2
"1052" 1 7 10 10 6 10 6
"1055" 0 5 6 7 6 9 5
"1056" 0 5 6 6 5 5 4
"1057" 0 7 7 7 5 5 5
"1058" 1 7 7 7 7 7 7
"1059" 0 2 2 2 2 2 2
"1060" 0 7 7 7 7 7 7
"1061" 0 4 6 6 6 6 4
"1062" 0 4 6 6 5 5 5
"1063" 0 2 2 2 2 2 2
"1064" 0 5 5 5 5 5 5
"1066" 1 6 6 6 6 6 6
"1067" 0 5 5 5 5 5 5
"1068" 1 5 7 7 7 5 6
"1069" 1 6 6 6 6 6 6
"1070" 0 5 5 5 5 5 5
"1071" 0 4 4 4 4 4 4
"1072" 0 6 6 6 6 6 6
"1074" 0 7 9 9 8 9 8
"1075" 0 6 7 8 7 8 7
"1077" 0 6 7 7 6 6 5
"1078" 1 8 8 8 8 7 7
"1079" 0 6 8 8 7 8 7
"1080" 0 6 8 7 6 8 6
"1081" 1 8 8 8 8 8 9
"1082" 1 7 8 8 8 8 8
"1083" 1 8 8 8 6 8 7
"1084" 1 8 8 9 9 8 8
"1086" 0 6 9 8 8 9 8
"1087" 1 8 8 8 8 8 8
"1088" 1 8 8 8 8 8 8
"1090" 0 7 9 8 8 9 8
"1091" 0 2 10 10 8 10 6
"1092" 0 3 7 7 5 7 6
"1093" 0 2 6 8 4 7 4
"1094" 0 8 8 9 8 7 6
"1095" 0 7 6 6 4 6 3
"1096" 1 8 8 8 7 9 8
"1097" 0 3 8 8 6 7 5
"1098" 0 3 8 9 2 9 2
"1099" 0 2 8 10 1 7 1
"1100" 0 4 9 8 6 7 6
"1101" 1 6 8 8 8 4 7
"1102" 0 9 9 9 8 2 7
"1103" 0 4 9 8 9 8 3
"1104" 0 2 7 6 8 6 4
"1105" 1 7 7 7 8 7 7
"1106" 0 6 9 8 8 8 7
"1107" 0 6 6 7 6 7 6
"1108" 0 4 9 9 6 7 5
"1109" 1 7 7 10 10 9 8
"1110" 0 4 8 7 5 7 4
"1111" 0 5 10 8 8 9 7
"1112" 0 8 9 10 7 8 8
"1113" 0 7 10 7 7 8 6
"1114" 1 8 8 10 10 10 10
"1115" 1 5 10 10 9 10 8
"1116" 0 5 10 10 8 8 7
"1117" 0 4 10 9 6 8 6
"1118" 0 6 8 8 8 9 7
"1119" 0 8 9 9 7 8 7
"1120" 1 7 9 9 10 9 8
"1121" 0 5 10 9 8 9 7
"1122" 1 7 10 9 10 8 9
"1123" 1 7 10 10 10 8 10
"1124" 1 6 10 10 8 8 8
"1125" 0 7 8 8 9 8 6
"1126" 0 6 10 9 8 8 7
"1127" 0 4 6 7 6 9 8
"1128" 0 5 6 8 7 8 8
"1129" 0 4 8 8 5 7 6
"1130" 0 8 6 7 7 7 6
"1131" 0 5 6 7 4 5 4
"1132" 1 8 7 8 8 8 7
"1133" 0 4 8 7 4 5 3
"1134" 0 5 8 8 7 8 6
"1135" 0 5 7 8 6 7 4
"1136" 0 7 8 8 8 8 8
"1137" 0 7 8 8 6 6 6
"1138" 0 5 10 8 8 8 8
"1139" 0 5 8 8 8 8 8
"1140" 1 8 8 8 7 5 8
"1141" 0 5 7 9 6 7 5
"1142" 0 4 8 8 9 6 8
"1143" 0 4 7 8 4 8 6
"1144" 0 4 8 6 8 7 8
"1145" 0 1 5 0 10 0 3
"1146" 0 5 8 7 5 5 4
"1147" 0 5 8 8 6 6 5
"1148" 0 4 6 7 4 7 3
"1149" 0 5 8 5 2 2 2
"1150" 1 7 5 6 7 5 7
"1151" 0 2 5 7 4 7 5
"1152" 0 3 7 7 2 2 5
"1153" 0 4 5 6 3 7 3
"1154" 0 5 5 5 5 5 5
"1155" 0 6 2 5 5 5 2
"1156" 1 5 5 7 8 7 5
"1157" 0 4 6 8 6 5 5
"1158" 0 4 8 8 5 7 6
"1159" 1 4 0 8 7 7 6
"1160" 0 5 5 9 6 5 5
"1161" 0 4 4 5 4 9 4
"1162" 0 3 5 5 4 5 4
"1163" 0 4 1 4 1 10 1
"1164" 0 5 6 7 5 6 2
"1165" 0 5 5 6 6 6 2
"1166" 1 7 8 7 7 5 4
"1167" 0 8 8 8 1 1 1
"1168" 1 8 7 7 6 6 5
"1169" 0 5 8 8 5 8 3
"1170" 0 4 7 9 4 8 3
"1171" 0 5 8 8 6 5 3
"1172" 0 8 7 7 6 6 3
"1173" 1 7 7 8 7 9 5
"1174" 0 8 8 8 6 6 2
"1175" 0 6 8 7 6 8 2
"1176" 1 7 6 6 5 6 5
"1177" 0 6 6 6 4 6 1
"1178" 0 6 8 7 5 6 2
"1179" 0 5 5 5 7 5 3
"1180" 0 6 4 6 2 6 1
"1182" 0 6 8 6 7 7 6
"1184" 1 7 7 7 7 7 6
"1185" 0 7 8 7 5 5 5
"1186" 1 7 6 6 5 5 5
"1187" 1 7 6 6 5 5 5
"1188" 0 6 7 7 5 7 4
"1189" 0 5 8 6 5 5 4
"1190" 0 7 6 6 5 5 3
"1191" 1 9 8 7 8 5 7
"1192" 1 7 8 8 8 8 6
"1193" 1 5 7 7 7 7 6
"1194" 1 10 7 7 6 6 8
"1195" 1 10 8 6 7 10 5
"1196" 1 6 7 7 7 5 7
"1197" 1 8 7 7 7 7 8
"1199" 0 2 3 2 1 1 1
"1200" 0 2 2 2 2 2 1
"1201" 0 3 6 6 5 7 4
"1202" 0 3 4 6 6 7 3
"1203" 0 2 8 8 5 9 7
"1204" 1 8 8 7 7 8 7
"1205" 0 3 10 9 5 9 5
"1206" 0 1 3 4 2 4 1
"1207" 0 2 3 4 5 4 2
"1208" 0 3 5 6 4 7 1
"1209" 0 2 3 4 5 5 2
"1210" 0 1 6 7 7 9 4
"1211" 0 2 4 5 4 7 3
"1212" 1 8 10 8 9 8 8
"1213" 0 7 9 7 6 7 5
"1214" 0 2 4 7 8 8 4
"1215" 0 4 3 6 7 5 2
"1216" 0 2 4 7 7 7 3
"1217" 0 1 2 10 1 10 4
"1218" 0 2 10 10 2 10 5
"1219" 0 3 7 9 2 10 3
"1220" 0 6 7 10 7 10 7
"1221" 0 3 10 10 3 10 10
"1222" 1 8 10 10 8 10 8
"1223" 0 4 10 10 6 10 9
"1224" 0 3 10 10 3 10 2
"1225" 0 2 10 10 1 10 1
"1226" 0 6 7 7 6 10 3
"1227" 0 6 9 10 5 8 3
"1228" 0 6 9 10 10 10 8
"1229" 0 2 10 10 2 2 3
"1230" 0 3 10 10 10 10 6
"1231" 0 8 10 10 5 10 8
"1232" 0 5 10 10 10 10 10
"1233" 0 4 10 10 10 10 8
"1234" 0 2 10 10 10 10 7
"1235" 0 6 9 8 5 7 6
"1236" 0 6 9 8 7 7 6
"1237" 0 6 10 9 7 8 6
"1238" 0 7 9 9 8 9 5
"1239" 0 6 9 7 6 7 5
"1240" 1 9 9 9 9 9 9
"1241" 1 8 9 10 10 9 9
"1242" 0 5 9 8 6 6 6
"1243" 0 6 10 9 6 7 5
"1244" 0 8 9 8 7 8 5
"1245" 1 9 9 9 8 8 7
"1246" 0 6 9 9 7 7 5
"1247" 0 8 10 10 9 10 5
"1248" 0 9 9 10 10 7 6
"1249" 0 9 9 8 10 8 7
"1250" 0 8 10 10 8 8 6
"1251" 0 7 10 10 10 7 6
"1252" 0 7 10 10 9 9 6
"1253" 1 8 8 7 8 6 4
"1254" 1 7 6 8 7 7 5
"1255" 1 7 8 7 6 5 4
"1256" 0 4 8 8 4 5 4
"1257" 0 4 8 5 6 4 4
"1258" 0 5 7 6 7 7 6
"1259" 1 6 7 8 7 8 6
"1260" 1 6 7 7 5 6 7
"1261" 0 6 9 7 6 6 8
"1264" 0 4 6 6 6 6 5
"1266" 0 6 9 8 5 8 3
"1269" 0 4 7 8 5 7 4
"1270" 0 4 6 7 6 5 3
"1273" 1 7 10 10 10 10 10
"1276" 0 9 7 8 7 6 7
"1280" 0 4 3 9 3 8 5
"1281" 0 4 8 9 4 8 3
"1282" 0 3 9 10 6 9 5
"1283" 1 10 10 10 8 9 10
"1284" 1 8 7 8 3 8 6
"1285" 1 10 10 9 10 9 9
"1286" 0 6 8 9 4 9 5
"1287" 0 6 9 10 8 9 8
"1288" 0 4 8 9 7 8 6
"1289" 0 8 7 8 5 8 5
"1290" 0 8 8 8 7 8 7
"1291" 1 7 8 9 9 8 8
"1292" 0 7 8 8 8 8 7
"1293" 1 8 9 9 10 9 9
"1294" 1 8 9 10 9 8 9
"1295" 1 7 9 9 7 9 7
"1296" 1 6 9 9 8 8 5
"1297" 0 6 7 8 7 8 5
"1298" 0 6 6 7 7 8 6
"1299" 1 7 8 7 7 7 7
"1300" 0 7 7 7 6 6 6
"1302" 0 6 6 6 6 6 5
"1303" 1 7 6 7 7 7 6
"1304" 1 7 7 7 7 7 7
"1305" 0 7 6 7 6 7 6
"1306" 0 6 7 7 6 7 6
"1307" 1 7 7 7 7 7 7
"1308" 1 8 8 7 8 8 8
"1309" 0 7 7 7 7 7 6
"1310" 0 7 7 7 7 7 7
"1311" 0 7 7 7 7 7 6
"1312" 0 7 7 7 7 7 6
"1313" 0 7 7 7 6 7 6
"1314" 0 7 7 7 6 6 6
"1315" 1 7 7 7 7 7 7
"1316" 1 6 6 6 7 7 6
"1317" 1 8 8 7 7 7 5
"1318" 0 7 5 6 6 5 3
"1319" 0 7 7 8 8 6 9
"1320" 0 6 7 7 7 7 5
"1321" 1 9 8 8 8 8 6
"1322" 1 9 9 8 8 6 6
"1323" 1 7 7 7 7 7 5
"1324" 0 6 7 6 6 6 5
"1325" 0 7 7 7 7 7 5
"1326" 1 6 8 8 8 6 6
"1327" 0 7 7 7 7 7 5
"1328" 0 7 6 6 6 6 5
"1329" 0 5 5 5 5 5 5
"1330" 0 5 6 9 3 3 3
"1331" 1 9 8 8 8 8 5
"1332" 0 9 8 8 6 7 7
"1333" 1 7 9 9 8 6 7
"1334" 0 6 6 7 8 4 6
"1335" 0 4 6 5 6 5 5
"1336" 0 5 6 7 4 4 6
"1337" 0 4 7 7 6 5 5
"1338" 0 5 8 7 5 6 4
"1339" 1 6 6 6 8 6 7
"1340" 0 4 6 5 6 5 4
"1341" 1 7 7 8 6 7 5
"1342" 0 5 7 6 6 6 4
"1343" 0 5 7 6 6 5 6
"1344" 1 8 8 8 9 6 9
"1345" 0 6 7 6 6 6 6
"1346" 1 6 7 7 7 7 6
"1347" 0 3 5 6 4 6 3
"1348" 0 3 8 5 4 5 4
"1349" 1 7 7 8 7 8 7
"1350" 1 6 6 7 7 4 5
"1351" 1 5 7 7 8 5 6
"1355" 1 8 9 9 9 8 8
"1360" 1 7 7 8 8 8 8
"1367" 1 8 8 8 8 8 7
"1370" 0 4 6 7 7 7 7
"1371" 1 6 9 9 9 6 6
"1372" 0 8 7 8 7 6 5
"1373" 0 5 7 8 6 7 7
"1374" 0 4 6 7 4 6 6
"1375" 0 7 7 8 7 8 7
"1376" 0 5 6 6 5 6 7
"1377" 1 7 6 7 6 8 4
"1378" 1 7 7 7 7 6 6
"1379" 0 6 6 6 5 7 4
"1380" 1 8 8 8 8 8 7
"1381" 1 8 8 7 7 6 5
"1382" 0 6 7 6 5 7 6
"1383" 1 8 8 7 7 7 5
"1384" 0 3 7 8 4 9 5
"1385" 1 8 8 8 8 9 6
"1386" 1 8 7 8 6 8 9
"1387" 1 8 8 8 8 7 8
"1406" 0 4 7 8 5 7 3
"1407" 1 8 8 9 8 8 9
"1408" 0 4 4 3 4 2 4
"1409" 1 6 7 8 8 8 9
"1410" 0 5 4 6 7 5 5
"1411" 1 8 7 7 5 5 8
"1412" 1 4 8 7 4 3 2
"1413" 1 6 7 8 8 9 9
"1414" 0 4 6 7 7 7 7
"1415" 0 5 7 9 5 4 9
"1416" 0 5 8 7 4 8 5
"1417" 1 8 8 8 8 7 4
"1418" 0 6 7 5 4 5 8
"1419" 1 9 8 8 7 7 6
"1420" 0 6 8 8 6 5 0
"1421" 1 9 8 8 7 8 8
"1422" 1 6 7 8 5 7 7
"1423" 0 5 5 7 5 9 7
"1424" 0 4 7 8 7 7 4
"1425" 0 8 7 6 5 5 4
"1426" 1 8 8 7 7 8 8
"1427" 0 4 8 8 8 6 4
"1428" 0 6 9 8 7 8 4
"1429" 1 9 8 9 9 9 8
"1430" 0 6 9 9 8 8 7
"1431" 0 5 9 8 8 8 6
"1432" 0 5 8 9 8 7 5
"1433" 0 7 9 9 9 7 9
"1434" 1 8 10 9 9 7 8
"1435" 1 6 8 8 8 6 4
"1436" 0 7 8 9 9 9 8
"1437" 0 9 8 8 9 8 7
"1438" 0 8 7 7 2 4 2
"1439" 1 9 7 9 9 9 8
"1440" 0 9 8 8 7 6 6
"1441" 1 8 9 10 10 8 7
"1448" 1 9 8 8 9 7 8
"1455" 0 8 9 9 6 9 2
"1456" 1 6 9 9 6 8 6
"1460" 1 5 7 8 10 6 9
"1461" 0 4 5 6 6 6 6
"1462" 0 5 5 6 3 6 5
"1463" 0 4 4 4 4 6 3
"1464" 1 10 9 8 7 7 10
"1465" 1 10 9 7 8 8 9
"1466" 1 6 5 8 9 8 5
"1467" 1 10 9 8 8 5 6
"1468" 1 9 8 7 5 5 4
"1469" 0 5 6 7 2 7 3
"1470" 1 6 8 8 8 8 5
"1471" 1 8 6 6 7 4 3
"1472" 0 5 5 6 6 7 5
"1473" 0 3 7 7 1 3 2
"1474" 0 3 7 7 2 2 2
"1475" 1 7 7 8 8 10 7
"1476" 1 7 8 8 6 8 7
"1477" 1 7 7 7 6 6 5
"1478" 0 6 8 9 7 7 7
"1479" 0 6 7 7 7 7 5
"1480" 0 6 7 6 6 6 6
"1481" 0 5 7 8 6 7 6
"1482" 0 7 8 8 6 7 6
"1483" 1 8 8 8 8 8 8
"1484" 0 6 7 6 6 6 3
"1485" 1 8 8 8 8 8 8
"1486" 0 7 7 9 8 8 7
"1487" 0 6 7 8 8 7 7
"1488" 0 6 7 7 7 7 6
"1489" 1 8 7 7 7 7 8
"1490" 0 7 6 7 6 7 6
"1491" 1 8 7 8 7 8 5
"1492" 0 6 7 8 5 5 5
"1493" 1 8 8 8 8 8 8
"1494" 0 6 6 6 6 6 6
"1495" 0 6 7 7 8 7 6
"1496" 0 6 8 7 6 6 5
"1497" 0 6 6 6 6 6 7
"1498" 0 6 8 6 6 4 4
"1499" 1 6 8 7 7 7 4
"1500" 0 6 9 8 6 7 4
"1501" 1 8 6 7 7 7 6
"1502" 1 7 8 7 8 6 5
"1503" 1 7 6 6 7 7 5
"1504" 0 6 6 6 6 6 5
"1505" 0 6 8 6 6 5 5
"1506" 1 7 7 7 8 7 6
"1507" 0 7 6 6 6 6 5
"1508" 0 6 6 6 6 6 5
"1509" 1 7 7 7 6 7 6
"1510" 0 10 10 10 10 10 10
"1511" 0 8 7 7 6 8 6
"1512" 1 9 8 6 6 6 6
"1513" 1 7 8 6 8 6 6
"1514" 1 7 7 8 9 8 7
"1515" 1 8 7 8 8 7 7
"1516" 0 5 8 8 6 4 6
"1517" 0 5 9 8 9 5 6
"1518" 1 6 9 9 6 5 7
"1519" 1 8 7 9 8 10 5
"1520" 1 8 7 7 6 7 6
"1521" 1 8 9 8 7 5 8
"1522" 1 7 9 9 8 7 9
"1523" 1 7 7 8 7 6 7
"1524" 1 8 8 8 8 7 6
"1525" 1 8 7 7 6 7 5
"1526" 1 7 8 8 8 7 7
"1527" 1 7 8 9 6 8 5
"1528" 0 6 7 7 5 6 5
"1529" 1 8 8 10 9 7 7
"1530" 1 8 7 8 7 6 6
"1531" 1 8 7 8 7 6 5
"1535" 1 8 10 10 6 9 8
"1536" 0 8 10 7 3 10 4
"1537" 0 9 5 6 3 10 9
"1539" 1 10 10 10 10 10 10
"1540" 1 10 10 10 8 8 8
"1542" 0 8 6 7 8 9 1
"1544" 1 8 10 8 8 6 5
"1547" 1 10 10 10 10 10 10
"1549" 1 9 10 10 8 8 8
"1550" 1 9 9 9 9 9 9
"1551" 1 6 8 8 8 9 7
"1552" 1 6.5 7 6.5 5 5 5
"1553" 1 6 8 9 7 6 5
"1554" 0 6 8 8 5.5 6 2
"1555" 1 10 9 9 9 9 8
"1556" 1 8 8 8 8 7 7.5
"1557" 1 9 10 9 8 7 6.5
"1558" 0 7 7 8.5 6.5 9 4
"1559" 1 8 8 7 8 6 8
"1560" 1 8 8 8 7 8 8
"1561" 1 9 9 9 9 9 8.5
"1562" 1 9 9 9 9 9 9
"1563" 0 8 7 9 6 9 4
"1564" 0 7 8 8 6 6 2
"1565" 1 8 9 8 8 8 7
"1566" 1 9 9 9 9 9 8
"1567" 1 7.5 8.5 9 9.5 9.5 9
"1568" 0 7 7 8 7 5 8
"1569" 0 9 6 7 6 5 3
"1570" 0 7 7 5 5 4 3
"1571" 1 7 8 7 7 4 7
"1572" 0 6 8 8 7 6 2
"1573" 1 8 7 6 7 6 6
"1574" 0 6 7 6 7 5 4
"1575" 0 6 7 5 7 6 4
"1576" 1 7 8 9 8 8 5
"1577" 0 7 7 6 5 4 3
"1578" 1 8 6 8 7 7 5
"1579" 0 7 7 6 6 7 3
"1580" 1 8 9 7 8 5 4
"1581" 0 6 5 7 6 6 4
"1582" 0 6 8 7 6 5 3
"1583" 1 8 7 7 9 8 4
"1584" 0 8 7 6 6 8 2
"1585" 1 8 8 7 7 6 4
"1586" 1 8 10 8 8 8 7
"1587" 1 7 10 8 7 5 4
"1588" 1 7 10 8 8 8 3
"1589" 1 7 10 7 7 7 5
"1590" 1 7 10 7 7 7 5
"1591" 1 8 10 8 6 8 5
"1592" 1 7 10 8 8 7 5
"1593" 1 7 10 8 7 7 5
"1594" 1 7 10 8 8 6 7
"1595" 1 7 10 8 8 7 4
"1596" 1 7 10 8 8 7 8
"1597" 1 7 10 8 8 7 8
"1598" 0 7 10 7 6 6 7
"1599" 0 8 10 8 6 8 3
"1600" 1 7 10 8 6 8 3
"1601" 1 10 10 8 7 8 5
"1602" 1 9 10 8 6 8 3
"1603" 1 7 10 8 7 7 3
"1604" 1 6 6 8 8 7 3
"1605" 0 6 7 8 6 9 8
"1609" 0 5 5 8 5 10 5
"1610" 0 6 8 9 8 6 7
"1614" 1 7 8 9 8 7 8
"1616" 0 6 8 8 7 6 6
"1617" 0 5 7 8 5 9 6
"1621" 0 5 7 8 7 8 8
"1622" 0 3 4 8 8 6 4
"1623" 0 6 7 7 5 6 5
"1624" 0 4 4 5 2 2 3
"1625" 0 3 6 5 5 3 7
"1626" 0 5 5 6 3 5 5
"1627" 0 4 4 7 6 8 3
"1628" 0 5 6 5 5 5 3
"1629" 0 3 7 6 7 5 8
"1630" 0 2 6 6 5 5 3
"1631" 0 3 8 7 6 7 6
"1632" 0 5 6 7 4 7 3
"1633" 0 7 6 7 5 5 4
"1634" 0 6 6 7 5 5 4
"1635" 0 7 7 6 6 8 7
"1636" 0 3 8 5 4 5 7
"1637" 0 8 7 8 5 6 6
"1638" 0 7 6 6 3 4 4
"1639" 0 5 7 7 5 5 5
"1640" 1 7 7 7 9 7 8
"1641" 0 4 8 7 4 9 3
"1642" 0 5 1 6 2 8 1
"1643" 1 7 7 8 8 7 8
"1644" 1 5 7 9 6 8 7
"1645" 1 10 6 7 8 8 8
"1646" 1 9 10 8 8 7 9
"1647" 1 7 7 6 7 6 7
"1648" 1 8 8 8 8 8 8
"1649" 0 2 7 6 2 5 1
"1650" 1 8 10 9 10 5 5
"1651" 0 5 9 6 5 5 2
"1652" 0 5 9 8 1 10 1
"1653" 1 10 9 10 10 10 7
"1654" 1 6 9 8 7 7 6
"1655" 1 9 9 8 10 7 8
"1656" 1 6 10 9 8 7 4
"1657" 0 6 9 7 8 7 9
"1658" 1 9 9 8 6 5 5
"1659" 0 4 9 8 3 6 2
"1660" 1 7 6 6 7 4 4
"1661" 1 8 7 6 6 5 4
"1662" 0 4 3 4 2 9 3
"1663" 0 7 5 5 6 5 3
"1664" 0 5 6 5 5 5 7
"1665" 0 2 3 2 2 6 2
"1666" 1 8 6 7 8 7 5
"1667" 0 5 6 5 4 6 3
"1668" 1 7 8 7 5 6 6
"1669" 0 5 6 4 5 3 3
"1670" 0 10 10 10 10 10 10
"1671" 0 6 10 10 7 6 5
"1672" 0 2 10 10 2 10 2
"1673" 1 10 10 10 10 10 10
"1674" 0 6 10 10 8 10 6
"1675" 1 8 5 9 9 10 8
"1676" 1 9 10 9 8 8 7
"1677" 0 6 10 8 8 10 5
"1678" 0 6 9 9 9 9 5
"1680" 1 10 10 10 10 10 10
"1681" 1 7 10 8 8 8 6
"1682" 0 4 4 8 2 10 0
"1683" 1 10 8 8 9 8 8
"1684" 0 6 9 10 7 9 4
"1685" 1 8 6 6 7 5 6
"1686" 0 7 8 8 6 6 3
"1687" 1 6 10 6 9 6 4
"1688" 1 10 7 7 7 6 5
"1689" 0 4 8 7 3 7 0
"1690" 1 10 10 10 10 10 10
"1691" 0 7 10 8 7 8 4
"1692" 0 4 8 7 5 9 3
"1693" 1 10 10 10 10 10 10
"1694" 0 6 10 9 7 8 6
"1695" 0 8 6 7 6 8 5
"1696" 0 7 8 6 6 6 6
"1697" 0 7 7 6 7 9 5
"1698" 0 5 10 8 5 8 4
"1703" 1 6 8 8 9 8 6
"1705" 1 8 10 9 10 8 7
"1710" 1 7 8 7 8 8 5
"1711" 0 5 8 6 2 2 2
"1712" 0 2 1 4 1 6 0
"1713" 1 6 8 8 6 8 5
"1714" 0 8 10 8 7 8 6
"1715" 0 9 4 5 2 2 1
"1716" 1 8 7 8 6 5 2
"1717" 0 5 7 2 2 4 2
"1718" 1 9 9 9 8 10 2
"1719" 0 7 8 6 5 7 2
"1720" 1 8 10 10 7 7 8
"1721" 1 9 10 7 5 10 9
"1722" 0 4 6 7 6 6 1
"1723" 1 6 10 10 8 8 4
"1724" 1 8 7 10 7 10 9
"1725" 0 4 4 2 1 1 1
"1726" 1 9 10 10 5 7 4
"1727" 0 7 6 7 8 10 7
"1728" 1 6 10 5 2 2 4
"1729" 1 7 10 10 8 10 1
"1730" 1 9 9 9 9 9 9
"1731" 0 10 10 10 10 10 10
"1732" 0 6 10 7 7 7 7
"1733" 0 10 10 10 10 10 10
"1734" 1 10 10 10 10 10 10
"1735" 0 10 10 10 10 10 10
"1736" 1 9 9 8 7 8 7
"1737" 1 6 7 7 7 7 7
"1738" 0 6 9 8 7 6 6
"1739" 0 6 10 8 8 8 8
"1740" 1 9 7 7 6 4 5
"1741" 0 6 5 5 4 4 5
"1742" 0 4 6 6 5 4 5
"1743" 0 4 5 4 4 5 4
"1744" 0 6 5 5 4 4 6
"1745" 0 6 6 5 6 5 6
"1746" 0 6 4 5 6 7 7
"1747" 0 9 6 8 5 7 4
"1748" 0 5 4 5 4 5 4
"1749" 0 4 5 5 4 5 5
"1750" 1 6 7 7 4 4 5
"1751" 1 7 6 7 5 5 8
"1752" 1 5 6 8 7 7 7
"1753" 1 6 2 4 4 4 6
"1754" 1 5 4 3 2 5 4
"1755" 1 8 7 6 5 5 5
"1756" 1 9 8 4 5 3 2
"1757" 0 7 5 6 6 8 7
"1758" 1 2 7 9 6 7 7
"1759" 1 6 7 7 6 7 7
"1760" 1 9 8 9 9 8 7
"1761" 1 8 8 7 7 7 6
"1762" 0 5 8 8 6 7 5
"1763" 1 10 10 9 10 9 10
"1764" 1 10 10 10 10 10 10
"1765" 1 10 5 6 10 10 10
"1766" 1 8 8 6 6 6 7
"1767" 1 9 8 7 8 7 7
"1768" 0 4 6 6 5 4 2
"1769" 0 7 7 6 6 5 5
"1770" 1 7 8 7 6 6 6
"1771" 1 6 8 9 9 8 6
"1772" 0 6 7 7 6 7 7
"1773" 0 5 7 6 6 6 5
"1774" 0 7 6 8 9 7 7
"1775" 0 7 7 7 7 7 8
"1776" 1 6 9 8 9 7 7
"1777" 1 7 7 7 7 6 8
"1778" 0 4 8 7 6 6 5
"1779" 0 7 7 6 8 8 6
"1780" 1 10 7 9 10 8 10
"1781" 0 5 5 5 5 5 5
"1782" 0 5 7 7 2 5 2
"1783" 1 7 3 7 10 7 8
"1784" 1 7 7 7 7 5 5
"1785" 1 7 7 8 8 10 6
"1786" 1 9 8 8 6 7 3
